SL No.,Tender/RFQ ID,Tender Description,Reference No.,Department,Opening Date,Closing Date,Time left (DD:HH:MM),Portal,State,Matched Keywords,URL
72,GEM/2026/B/7563846,GEM/2026/B/7563846 - Dslr / Compact / Handheld Camcorder Or Video Cameras (V2),GEM/2026/B/7563846,Ministry of Defence,,2026-06-20,Closed,GeM,National,Optical Camera,https://bidplus.gem.gov.in/showbidDocument/9355822
73,GEM/2026/B/7670979,GEM/2026/B/7670979 - 7405010036 SET OF MECHANICAL COMPONENT LRF AS PER ANNEX-A,GEM/2026/B/7670979,Ministry of Defence,,2026-07-08,14:04:32,GeM,National,LRF,https://bidplus.gem.gov.in/showbidDocument/9475792
74,GEM/2026/B/7532955,GEM/2026/B/7532955 - EB3050B-180000085016(HAND HELD LASER RANGE FINDER LRF-LH-30 WITH ACCESSORIES),GEM/2026/B/7532955,Ministry of Defence,,2026-07-01,07:04:32,GeM,National,"Laser Range Finder, LRF",https://bidplus.gem.gov.in/showbidDocument/9321571
75,GEM/2026/B/7580604,GEM/2026/B/7580604 - 7401423510 HAARNESS ASSY LRF. AS PER ANNEXURE-H.,GEM/2026/B/7580604,Ministry of Defence,,2026-06-29,05:04:32,GeM,National,LRF,https://bidplus.gem.gov.in/showbidDocument/9374540
76,GEM/2026/B/7580752,GEM/2026/B/7580752 - 7401423510 HAARNESS ASSY LRF. AS PER ANNEXURE-H.,GEM/2026/B/7580752,Ministry of Defence,,2026-06-22,Closed,GeM,National,LRF,https://bidplus.gem.gov.in/showbidDocument/9374724
77,GEM/2026/B/7575028,GEM/2026/B/7575028 - 7440040019 SET OF O-RING LRF. AS PER ANNEXURE-F.,GEM/2026/B/7575028,Ministry of Defence,,2026-06-20,Closed,GeM,National,LRF,https://bidplus.gem.gov.in/showbidDocument/9368251
78,GEM/2026/B/7479697,GEM/2026/B/7479697 - Laser Range Finder,GEM/2026/B/7479697,Ministry of Power,,2026-06-20,Closed,GeM,National,Laser Range Finder,https://bidplus.gem.gov.in/showbidDocument/9262383
79,GEM/2026/B/7592028,GEM/2026/B/7592028 - Laser Range Finder,GEM/2026/B/7592028,Ministry of Defence,,2026-06-20,Closed,GeM,National,Laser Range Finder,https://bidplus.gem.gov.in/showbidDocument/9387292
80,GEM/2026/B/7577467,GEM/2026/B/7577467 - Camera for CCTV System (V3),GEM/2026/B/7577467,PMO,,2026-06-20,Closed,GeM,National,Security Equipment,https://bidplus.gem.gov.in/showbidDocument/9370978
81,GEM/2026/B/7622528,GEM/2026/B/7622528 - Custom Bid for Services - Comprehensive Annual Maintenance Contract (CAMC) for CCTV system at BPCL,GEM/2026/B/7622528,Ministry of Petroleum and Natural Gas,,2026-06-24,00:04:32,GeM,National,Security Equipment,https://bidplus.gem.gov.in/showbidDocument/9421458
82,GEM/2026/B/7554771,"GEM/2026/B/7554771 - 16 TB Suvaillance Hard Disk,Video Recorder for CCTV System (V2)",GEM/2026/B/7554771,Ministry of Home Affairs,,2026-06-20,Closed,GeM,National,Security Equipment,https://bidplus.gem.gov.in/showbidDocument/9345710
83,GEM/2026/B/7642546,"GEM/2026/B/7642546 - Video Recorder for CCTV System (V2),Camera for CCTV System (V3),Cables, Converters and Adapters,Lin",GEM/2026/B/7642546,Local Self Government Department Kerala,,2026-06-20,Closed,GeM,National,Security Equipment,https://bidplus.gem.gov.in/showbidDocument/9443943
84,GEM/2026/B/7590972,"GEM/2026/B/7590972 - Supply of 123 nos of IP based CCTV camera and additional accessories,Installation Testing and Commi",GEM/2026/B/7590972,Ministry of Coal,,2026-06-20,Closed,GeM,National,Security Equipment,https://bidplus.gem.gov.in/showbidDocument/9386127
85,GEM/2026/B/7625736,"GEM/2026/B/7625736 - Camera for CCTV System (V3),Video Recorder for CCTV System (V2),Optical Fibre Cable for Networking",GEM/2026/B/7625736,Panchayats and Rural Housing Department Gujarat,,2026-06-20,Closed,GeM,National,Security Equipment,https://bidplus.gem.gov.in/showbidDocument/9425036
86,GEM/2026/B/7639446,GEM/2026/B/7639446 - AMC OF CCTV CAMERA,GEM/2026/B/7639446,Ministry of Defence,,2026-06-20,Closed,GeM,National,Security Equipment,https://bidplus.gem.gov.in/showbidDocument/9440524
87,GEM/2026/B/7642277,"GEM/2026/B/7642277 - AMC of Integrated Security and Surveillance System - Theft Prevention, Facility/Asset Protection, M",GEM/2026/B/7642277,Police Department Uttarakhand,,2026-06-20,Closed,GeM,National,Surveillance Equipment,https://bidplus.gem.gov.in/showbidDocument/9443653
88,GEM/2026/B/7643623,"GEM/2026/B/7643623 - CCTV Camera,Cat 6 Cable,4 Pair Fiber Cable,Surveillance hard Disk,Double Battery 1KVA Ups",GEM/2026/B/7643623,Ministry of Defence,,2026-06-20,Closed,GeM,National,Security Equipment,https://bidplus.gem.gov.in/showbidDocument/9445133
89,GEM/2026/B/7611603,"GEM/2026/B/7611603 - INTEGRATED SECURITY SURVEILLANCE SYSTEM SERVICE - Theft Prevention, Remote Video Monitoring, Facili",GEM/2026/B/7611603,Health and Family Welfare Department Odisha,,2026-06-20,Closed,GeM,National,Surveillance Equipment,https://bidplus.gem.gov.in/showbidDocument/9409522
90,GEM/2026/B/7636268,GEM/2026/B/7636268 - AMC of Integrated Security and Surveillance System - Surveillance System; Comprehensive; All Survei,GEM/2026/B/7636268,Ministry of Defence,,2026-06-20,Closed,GeM,National,Surveillance Equipment,https://bidplus.gem.gov.in/showbidDocument/9436947
91,GEM/2026/B/7623983,"GEM/2026/B/7623983 - 4 MP VERIFOCAL CAMERA,16 CHANNEL NVR,4 MP BULLET CAMERA,CO BOX,OUTER CAMERA UNIT,1 TB SURVEILLANCE ",GEM/2026/B/7623983,Ministry of Defence,,2026-06-20,Closed,GeM,National,Optical Camera,https://bidplus.gem.gov.in/showbidDocument/9423063
92,GEM/2026/B/7651288,"GEM/2026/B/7651288 - Repair of IP Camera,Repair of PTZ Camera,Repair of NVR,Repair of UPS 2 KVA,Repair of A6 Port Indust",GEM/2026/B/7651288,Ministry of Defence,,2026-06-22,Closed,GeM,National,"PTZ Camera, Optical Camera",https://bidplus.gem.gov.in/showbidDocument/9453564
