SL No.,Tender/RFQ ID,Tender Description,Reference No.,Department,Opening Date,Closing Date,Time left (DD:HH:MM),Portal,State,Matched Keywords,URL
1791,312668,"E-Tender No.4 of 2026-27 - Gujarat Water Supply and Sewerage Board-Narmada and Water Resources, Water Supply and Kalpsar Department-Public Health Works Division - Ahwa",E-Tender No.4 of 2026-27,"Gujarat Water Supply and Sewerage Board-Narmada and Water Resources, Water Supply and Kalpsar Department-Public Health Works Division - Ahwa",,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1792,312667,"E-Tender No.4 of 2026-27 - Gujarat Water Supply and Sewerage Board-Narmada and Water Resources, Water Supply and Kalpsar Department-Public Health Works Division - Ahwa",E-Tender No.4 of 2026-27,"Gujarat Water Supply and Sewerage Board-Narmada and Water Resources, Water Supply and Kalpsar Department-Public Health Works Division - Ahwa",,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1793,301437,WTPS/W/ET/02/2026-06 for WORKS RFQ NO-76133 - Gujarat State Electricity Corporation Limited-Energy And Petrochemicals Department-Wanakbori Thermal Power Station,WTPS/W/ET/02/2026-06 for WORKS RFQ NO-76133,Gujarat State Electricity Corporation Limited-Energy And Petrochemicals Department-Wanakbori Thermal Power Station,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1794,301435,WTPS/W/ET/02/2026-06 for WORKS RFQ NO-75933 - Gujarat State Electricity Corporation Limited-Energy And Petrochemicals Department-Wanakbori Thermal Power Station,WTPS/W/ET/02/2026-06 for WORKS RFQ NO-75933,Gujarat State Electricity Corporation Limited-Energy And Petrochemicals Department-Wanakbori Thermal Power Station,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1795,298562,"WT-5134 - Gujarat State Electricity Corporation Limited-Energy And Petrochemicals Department-Thermal Power Station, Ukai",WT-5134,"Gujarat State Electricity Corporation Limited-Energy And Petrochemicals Department-Thermal Power Station, Ukai",,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1796,290381,"WT-5151 - Gujarat State Electricity Corporation Limited-Energy And Petrochemicals Department-Thermal Power Station, Ukai",WT-5151,"Gujarat State Electricity Corporation Limited-Energy And Petrochemicals Department-Thermal Power Station, Ukai",,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1797,290377,"WT-5150 - Gujarat State Electricity Corporation Limited-Energy And Petrochemicals Department-Thermal Power Station, Ukai",WT-5150,"Gujarat State Electricity Corporation Limited-Energy And Petrochemicals Department-Thermal Power Station, Ukai",,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1798,274164,"WT-5030A - Gujarat State Electricity Corporation Limited-Energy And Petrochemicals Department-Thermal Power Station, Ukai",WT-5030A,"Gujarat State Electricity Corporation Limited-Energy And Petrochemicals Department-Thermal Power Station, Ukai",,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1799,306384,"ET-251 - Gujarat State Electricity Corporation Limited-Energy And Petrochemicals Department-Thermal Power Station, Gandhinagar",ET-251,"Gujarat State Electricity Corporation Limited-Energy And Petrochemicals Department-Thermal Power Station, Gandhinagar",,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1800,306382,"ET-247 - Gujarat State Electricity Corporation Limited-Energy And Petrochemicals Department-Thermal Power Station, Gandhinagar",ET-247,"Gujarat State Electricity Corporation Limited-Energy And Petrochemicals Department-Thermal Power Station, Gandhinagar",,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1801,306380,"ET-246 - Gujarat State Electricity Corporation Limited-Energy And Petrochemicals Department-Thermal Power Station, Gandhinagar",ET-246,"Gujarat State Electricity Corporation Limited-Energy And Petrochemicals Department-Thermal Power Station, Gandhinagar",,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1802,301441,"ET-232 - Gujarat State Electricity Corporation Limited-Energy And Petrochemicals Department-Thermal Power Station, Gandhinagar",ET-232,"Gujarat State Electricity Corporation Limited-Energy And Petrochemicals Department-Thermal Power Station, Gandhinagar",,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1803,299000,"EW-278 - Gujarat State Electricity Corporation Limited-Energy And Petrochemicals Department-Thermal Power Station, Gandhinagar",EW-278,"Gujarat State Electricity Corporation Limited-Energy And Petrochemicals Department-Thermal Power Station, Gandhinagar",,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1804,310887,GMRC/TOPOGRAPHICAL SURVEY/PH-III (C)/2026 - Gujarat Metro Rail Corporation (GMRC) Ltd.-Urban Development & Urban Housing Development-GMRC Limited Commercial Department,GMRC/TOPOGRAPHICAL SURVEY/PH-III (C)/2026,Gujarat Metro Rail Corporation (GMRC) Ltd.-Urban Development & Urban Housing Development-GMRC Limited Commercial Department,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1805,304926,GMRC/CAMC-Telecom/PH-1/2026 - Gujarat Metro Rail Corporation (GMRC) Ltd.-Urban Development & Urban Housing Development-GMRC Limited Commercial Department,GMRC/CAMC-Telecom/PH-1/2026,Gujarat Metro Rail Corporation (GMRC) Ltd.-Urban Development & Urban Housing Development-GMRC Limited Commercial Department,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1806,312896,6 of 2026-27 - Gujarat Maritime Board-Ports and Transport-Procurement Cell,6 of 2026-27,Gujarat Maritime Board-Ports and Transport-Procurement Cell,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1807,312881,6 of 2026-27 - Gujarat Maritime Board-Ports and Transport-Procurement Cell,6 of 2026-27,Gujarat Maritime Board-Ports and Transport-Procurement Cell,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1808,308591,GIFT/ENG/WT/WC/2026/04 - Gujarat International Finance Tec-City Company Limited-Urban Development & Urban Housing Department-Engineering,GIFT/ENG/WT/WC/2026/04,Gujarat International Finance Tec-City Company Limited-Urban Development & Urban Housing Department-Engineering,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1809,307076,2026-27 - Gujarat Housing Board-Urban Development & Urban Housing Department-Gujarat Housing Board-Ahmedabad Division,2026-27,Gujarat Housing Board-Urban Development & Urban Housing Department-Gujarat Housing Board-Ahmedabad Division,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1810,310908,ACE(P & C)/Contracts/Civil-623/26-27/66 KV Bhatpore SS - Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited vadodara,ACE(P & C)/Contracts/Civil-623/26-27/66 KV Bhatpore SS,Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited vadodara,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1811,312705,MTC/05026/n-28(Reinvitation-I) - Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO Transmission Circle Office-Mehsana,MTC/05026/n-28(Reinvitation-I),Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO Transmission Circle Office-Mehsana,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1812,314468,2026-27 / HTC / 19 - Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO Transmission Circle Office - Himatnagar,2026-27 / HTC / 19,Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO Transmission Circle Office - Himatnagar,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1813,312140,2026-27/HTC / 14 - Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO Transmission Circle Office - Himatnagar,2026-27/HTC / 14,Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO Transmission Circle Office - Himatnagar,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1814,310921,62/2026 - Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO Transmission Circle Office - Gondal,62/2026,Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO Transmission Circle Office - Gondal,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1815,310897,61/2026 - Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO Transmission Circle Office - Gondal,61/2026,Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO Transmission Circle Office - Gondal,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1816,310870,60/2026 - Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO Transmission Circle Office - Gondal,60/2026,Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO Transmission Circle Office - Gondal,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1817,310854,59/2026 - Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO Transmission Circle Office - Gondal,59/2026,Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO Transmission Circle Office - Gondal,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1818,310998,"TCJND/2026-27/N-30 - Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO TR. Circle Office, Junagadh",TCJND/2026-27/N-30,"Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO TR. Circle Office, Junagadh",,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1819,310994,"STC-75-2026 - Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO Circle Office, Surendranagar",STC-75-2026,"Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO Circle Office, Surendranagar",,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1820,310969,"STC-74-2026 - Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO Circle Office, Surendranagar",STC-74-2026,"Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO Circle Office, Surendranagar",,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1821,310951,"STC-73-2026 - Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO Circle Office, Surendranagar",STC-73-2026,"Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO Circle Office, Surendranagar",,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1822,310919,"STC-72-2026 - Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO Circle Office, Surendranagar",STC-72-2026,"Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO Circle Office, Surendranagar",,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1823,314290,"GETCO/ EE (Civil) / JTC- 2026-27/n-59/ For Civil Works - Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO Circle Office, Jambuva",GETCO/ EE (Civil) / JTC- 2026-27/n-59/ For Civil Works,"Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO Circle Office, Jambuva",,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1824,311058,"JTC/26-27/n-52 - Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO Circle Office, Jambuva",JTC/26-27/n-52,"Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO Circle Office, Jambuva",,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1825,311030,"JTC/26-27/n-51 - Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO Circle Office, Jambuva",JTC/26-27/n-51,"Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO Circle Office, Jambuva",,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1826,310923,"JTC/26-27/ n-41 - Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO Circle Office, Jambuva",JTC/26-27/ n-41,"Gujarat Energy Transmission Corporation Limited-Gujarat Energy Transmission Corporation Limited-GETCO Circle Office, Jambuva",,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1827,307154,307154 - Gujarat Energy Limited-Energy and Petrochemicals Department-Gujarat Energy Limited - Gandhinagar,307154,Gujarat Energy Limited-Energy and Petrochemicals Department-Gujarat Energy Limited - Gandhinagar,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1828,311304,RFP. No. GCSC/SP/PR/2026-27/128 - Gujarat Council of Science City-Department of Science & Technology-Gujarat Council of Science City,RFP. No. GCSC/SP/PR/2026-27/128,Gujarat Council of Science City-Department of Science & Technology-Gujarat Council of Science City,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1829,308179,2025-26 - Gujarat Cancer & Research Institute-Gujarat Cancer & Research Institute-General Store,2025-26,Gujarat Cancer & Research Institute-Gujarat Cancer & Research Institute-General Store,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1830,302939,GCRI/PMC/PT-CYCLO/2026-01 - Gujarat Cancer & Research Institute-Gujarat Cancer & Research Institute-General Store,GCRI/PMC/PT-CYCLO/2026-01,Gujarat Cancer & Research Institute-Gujarat Cancer & Research Institute-General Store,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1831,301550,"03/2026-27 - Forests and Environment Department- Forests and Environment Department-Dy. Conservator of Forests, Wildlife Division - Shetrunji",03/2026-27,"Forests and Environment Department- Forests and Environment Department-Dy. Conservator of Forests, Wildlife Division - Shetrunji",,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1832,312941,4/2026-27 - Forests and Environment Department- Forests and Environment Department-Dy. Conservator of Forests - Godhra,4/2026-27,Forests and Environment Department- Forests and Environment Department-Dy. Conservator of Forests - Godhra,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1833,313304,DICDL/DSIR/AA/MISC/11/2026-27 - Dholera Industrial City Development Ltd-Industries and Mines Department-Dholera Industrial City Development Ltd,DICDL/DSIR/AA/MISC/11/2026-27,Dholera Industrial City Development Ltd-Industries and Mines Department-Dholera Industrial City Development Ltd,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1834,300968,HD-10/26 - Deendayal Port Authority-Deendayal Port Authority-Town Development Division,HD-10/26,Deendayal Port Authority-Deendayal Port Authority-Town Development Division,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1835,314710,DGVCL/Waghai DN/2025-26/Anaval Sdn/282 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Waghai (O&M) Division,DGVCL/Waghai DN/2025-26/Anaval Sdn/282,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Waghai (O&M) Division,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1836,314699,DGVCL/Waghai DN/2025-26/Anaval Sdn/281 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Waghai (O&M) Division,DGVCL/Waghai DN/2025-26/Anaval Sdn/281,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Waghai (O&M) Division,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1837,289882,SD/O&M/EXP/26/667 Date:24.03.2026 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Sachin Division - Surat,SD/O&M/EXP/26/667 Date:24.03.2026,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Sachin Division - Surat,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1838,314883,DGVCL/VPR /EXP/O&M/2026-27/1 DT.17.06.2026 SR.NO.2 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,DGVCL/VPR /EXP/O&M/2026-27/1 DT.17.06.2026 SR.NO.2,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1839,314881,DGVCL/VPR /EXP/O&M/2026-27/15 DT.17.06.2026 SR.NO.2 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,DGVCL/VPR /EXP/O&M/2026-27/15 DT.17.06.2026 SR.NO.2,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1840,314876,DGVCL/VPR /EXP/O&M/2026-27/15 DT.17.06.2026 SR.NO.1 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,DGVCL/VPR /EXP/O&M/2026-27/15 DT.17.06.2026 SR.NO.1,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1841,314567,DGVCL/VPR /EXP/O&M/2026-27/2 DT.16.06.2026 SR.NO.6 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,DGVCL/VPR /EXP/O&M/2026-27/2 DT.16.06.2026 SR.NO.6,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1842,314563,DGVCL/VPR /EXP/O&M/2026-27/2 DT.16.06.2026 SR.NO.10 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,DGVCL/VPR /EXP/O&M/2026-27/2 DT.16.06.2026 SR.NO.10,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1843,314557,DGVCL/VPR /EXP/O&M/2026-27/2 DT.16.06.2026 SR.NO.9 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,DGVCL/VPR /EXP/O&M/2026-27/2 DT.16.06.2026 SR.NO.9,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1844,314553,DGVCL/VPR /EXP/O&M/2026-27/2 DT.16.06.2026 SR.NO.8 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,DGVCL/VPR /EXP/O&M/2026-27/2 DT.16.06.2026 SR.NO.8,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1845,314549,DGVCL/VPR /EXP/O&M/2026-27/2 DT.16.06.2026 SR.NO.7 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,DGVCL/VPR /EXP/O&M/2026-27/2 DT.16.06.2026 SR.NO.7,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1846,312263,DGVCL/VPR /EXP/O&M/2026-27/2 DT.08.06.2026 SR.NO.4 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,DGVCL/VPR /EXP/O&M/2026-27/2 DT.08.06.2026 SR.NO.4,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1847,300981,DGVCL/VPR/EXP/O&M/2026-27/13 DT:04.05.2026 Sr.no.1 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,DGVCL/VPR/EXP/O&M/2026-27/13 DT:04.05.2026 Sr.no.1,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1848,300882,DGVCL/VPR/EXP/O&M/2026-27/12 DT:04.05.2026 SR.NO. 1 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,DGVCL/VPR/EXP/O&M/2026-27/12 DT:04.05.2026 SR.NO. 1,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1849,237821,DGVCL/VPR /EXP/O&M/2025-26/23 DT.28.10.2025 SR.NO.7 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,DGVCL/VPR /EXP/O&M/2025-26/23 DT.28.10.2025 SR.NO.7,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1850,237814,DGVCL/VPR /EXP/O&M/2025-26/23 DT.28.10.2025 SR.NO.6 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,DGVCL/VPR /EXP/O&M/2025-26/23 DT.28.10.2025 SR.NO.6,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1851,237808,DGVCL/VPR /EXP/O&M/2025-26/23 DT.28.10.2025 SR.NO.5 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,DGVCL/VPR /EXP/O&M/2025-26/23 DT.28.10.2025 SR.NO.5,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1852,237803,DGVCL/VPR /EXP/O&M/2025-26/23 DT.28.10.2025 SR.NO.4 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,DGVCL/VPR /EXP/O&M/2025-26/23 DT.28.10.2025 SR.NO.4,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1853,237765,DGVCL/VPR /EXP/O&M/2025-26/23 DT.28.10.2025 SR.NO.3 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,DGVCL/VPR /EXP/O&M/2025-26/23 DT.28.10.2025 SR.NO.3,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1854,237760,DGVCL/VPR /EXP/O&M/2025-26/23 DT.28.10.2025 SR.NO.2 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,DGVCL/VPR /EXP/O&M/2025-26/23 DT.28.10.2025 SR.NO.2,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1855,237752,DGVCL/VPR /EXP/O&M/2025-26/23 DT.28.10.2025 SR.NO.1 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,DGVCL/VPR /EXP/O&M/2025-26/23 DT.28.10.2025 SR.NO.1,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1856,227503,DGVCL/VPR/EXP/O&M/2024-25/17 DT:23.09.2025 Sr.no.6 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,DGVCL/VPR/EXP/O&M/2024-25/17 DT:23.09.2025 Sr.no.6,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Rural Division (O&M) - Vapi,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
