SL No.,Tender/RFQ ID,Tender Description,Reference No.,Department,Opening Date,Closing Date,Time left (DD:HH:MM),Portal,State,Matched Keywords,URL
2644,GEM/2026/B/7640734,"GEM/2026/B/7640734 - LED Bulb 7 Watt,LED Bulb 9 Watt,LED 0point5 W night bulb Red,LED 0point5 W night bulb Green,Batten ",GEM/2026/B/7640734,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9441956
2645,GEM/2026/B/7425082,"GEM/2026/B/7425082 - Design, Engineering & SITC of CCTV based surveillance monitoring system with night vision facility",GEM/2026/B/7425082,Ministry of Petroleum and Natural Gas,,2026-06-24,00:04:32,GeM,National,Security Equipment,https://bidplus.gem.gov.in/showbidDocument/9201492
2646,GEM/2026/B/7602298,"GEM/2026/B/7602298 - NVR 32 chanel,NVR 8 Channel,4MP Ip Camera Night vision colour and audio,Cat 6 Double coated black c",GEM/2026/B/7602298,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,Optical Camera,https://bidplus.gem.gov.in/showbidDocument/9398921
2647,GEM/2026/R/685727,"GEM/2026/R/685727 - Baygon Spray,9 Volt Battery,Envelope Cloth Coated 12 x 16,Envelope Size 10 x 14,Envelope Cloth Coat",GEM/2026/R/685727,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9501028
2648,GEM/2026/R/685745,"GEM/2026/R/685745 - Short Term Cab & Taxi Hiring Services - Sedan; Local; 40Kms/ 4Hr,Short Term Cab & Taxi Hiring Servi",GEM/2026/R/685745,Education Department Chandigarh,,2026-06-24,00:04:32,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9501121
2649,GEM/2026/B/7601713,"GEM/2026/B/7601713 - Z7 5855-000625 CASE CARRYING GOGGLE NIGHT VISION PASSIV,O M46-A51043-6 TAPERED PIN 6X50,Z6 MISC-ECI",GEM/2026/B/7601713,Ministry of Defence,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9398279
2650,GEM/2026/B/7613195,"GEM/2026/B/7613195 - PHOTOSTAT PAPER A4,PHOTOSTAT PAPER LEGAL,ERASER,PENCIL,CUTTER,DCP-L2640DW DRUM,BROTHER TONER (MODEL",GEM/2026/B/7613195,Ministry of Rural Development ,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9411236
2651,GEM/2026/B/7583575,"GEM/2026/B/7583575 - GUIDE PAD TYPE LONG DRILL DIA: 45MM, F. L: 420MM, O. A. L: 521 OF TUNGALOY REF. ORD. NO: HFO124-45O",GEM/2026/B/7583575,Ministry of Defence,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9377937
2652,GEM/2026/B/7597036,GEM/2026/B/7597036 - Custom Bid for Services - Engagement of Carrying and Forwarding Agent cum Secondary Transportation ,GEM/2026/B/7597036,Ministry of Petroleum and Natural Gas,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9392928
2653,GEM/2026/R/685119,"GEM/2026/R/685119 - Goods Transport Services - Per MT - FROM RINL VSP, VISAKHAPATNAM TO KOLKATA; BY TRAILOR; 40 FEET LO",GEM/2026/R/685119,Ministry of Steel,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9496215
